,HML,SMB,RMW,CMA,Mrt-Rf,RF
Sep-17,-0.025364056,-0.035552184,-0.017106674,-0.025783742,0.010523738,0.000613122
Oct-17,-0.027179484,-0.023099154,-0.007559113,-0.017870733,0.05461716,0.000388761
Nov-17,-0.03231627,0.01505335,-0.065418521,-0.009097562,-0.001851011,0.000540991
Dec-17,-0.012088066,-0.006792487,0.006120477,-0.015953613,0.014406833,0.00071181
Jan-18,-0.021503451,0.036073066,-0.093993749,0.007083319,0.05533904,0.000986294
Feb-18,-0.011794392,0.006604394,-0.019783212,-0.032966377,-0.0559272,0.000732031
Mar-18,-0.04933013,0.030847867,-0.052982616,0.028121919,0.009190543,0.000869665
Apr-18,0.059581263,0.030258301,0.013274588,0.064923009,0.024170091,0.000873457
May-18,0.007370282,0.034400773,0.029366212,0.028157357,-0.031323966,0.000860218
Jun-18,-0.023810755,-0.042132314,-0.001192272,-0.02860121,-0.043495111,0.000829565
Jul-18,0.010184064,-0.006093447,0.032163834,-0.020404259,-0.020055779,0.000872271
Aug-18,-0.031323621,0.009976761,-0.073861193,0.03146481,0.017453742,0.000927291
Sep-18,0.043561497,-0.014813575,-0.018209086,0.043698558,0.009446148,0.000632373
Oct-18,0.027065665,-0.04409891,0.060466946,-0.033541712,-0.146386078,0.000763902
Nov-18,0.006494113,0.024391705,-0.014480184,0.011190635,0.037825679,0.000901337
Dec-18,0.050050557,-0.012770226,0.024967641,0.021343942,-0.013089504,0.00092862
Jan-19,-0.010502238,0.019454947,0.016000413,-0.031199463,0.07662127,0.001061501
Feb-19,-0.023027868,-0.00435236,-0.00062405,-0.010644547,-0.001556627,0.000751555
Mar-19,-0.027129079,0.021894874,0.018699567,-0.026513216,-0.021129612,0.001013692
Apr-19,-0.006492062,0.014022154,0.0085448,0.006111403,0.029075005,0.001065987
May-19,0.012896955,0.02498751,0.023157107,0.00577835,-0.075036042,0.001245354
Jun-19,-0.001132698,-0.004107436,0.063365699,-0.008191793,0.03688873,0.000990023
Jul-19,0.015185692,-0.024226647,0.022718841,-0.02397508,-0.056657947,0.001237568
Aug-19,-0.007160445,0.005202104,0.015232091,-0.005616638,-0.029803248,0.001199529
Sep-19,0.015421755,-0.005883952,0.030541958,0.005663263,0.04513987,0.000604737
Oct-19,-0.05793819,-0.008213008,-0.076344018,-0.010728807,0.016196853,0.000719901
Nov-19,0.029535836,-0.010234585,0.017501497,0.009121498,-0.004570995,0.000719489
Dec-19,0.001986158,-0.012753955,0.0211666,-0.011409911,0.066879309,0.000833187
Jan-20,-0.037648492,0.010732184,0.020865993,-0.009164345,-0.037294384,0.000869761
Feb-20,-0.036904284,0.005522135,-0.02543256,-0.018574185,-0.061237841,0.000969782
Mar-20,-0.12291623,-0.009925803,-0.099389002,-0.0097544,-0.109117313,0.001155309
Apr-20,0.021584353,0.032118483,0.032066016,0.02909016,0.112943916,0.000841489
May-20,-0.033526506,0.014903277,-0.029437965,-0.016323407,0.051587901,0.000664033
Jun-20,-0.042441606,-0.026336402,-0.016465177,-0.011694508,0.039540384,0.000292146
Jul-20,-0.009709837,0.011923223,-0.029579348,-0.017051185,0.072703747,0.00050448
Aug-20,0.025669725,0.000385259,-0.029794522,-0.048251486,0.035329826,9.54E-05
Sep-20,-0.004176364,0.022718828,0.003809387,0.036977798,0.001610336,0.000448871
Oct-20,0.047332024,0.004096593,0.053250116,0.013243031,-0.03334681,0.000274293
Nov-20,-0.007085537,-0.014709946,0.028618319,0.027057753,0.138563165,0.000361732
Dec-20,-0.000678657,-0.047613138,0.026418268,0.057644691,0.122512864,0.000406846
Jan-21,0.029988378,-0.008462951,0.05865875,0.001327852,0.022156327,0.000618773
Feb-21,0.036479931,0.008042566,0.028464666,0.011738847,0.007660791,0.000306593
